name;type
Australian National University;university
University of Utah;university
Jaume I University;university
University of Michigan, Ann Arbor;university
Duke University;university
Emirates NBD;company
3M;company
Ã–rebro University;university
Tata Institute of Fundamental Research;university
Jinan University;university
JD.com;company
South China University of Technology;university
Tokyo University of Science;university
China National Building;company
University of Oviedo;university
University of Hyogo;university
Washington State University, Pullman;university
Marsh & McLennan;company
Fresenius;company
Chung-Ang University;university
New York University;university
University of Science, Malaysia;university
Ulsan National Institute of Science and Technology;university
Stellenbosch University;university
Thomas Jefferson University;university
McMaster University;university
Target;company
New Jersey Institute of Technology;university
University of Texas at El Paso;university
Westpac Banking Group;company
Yangzhou University;university
University of New Mexico;university
NVIDIA;company
Michelin Group;company
Innsbruck Medical University;university
Miami University;university
University of Miyazaki;university
Huazhong Agricultural University;university
CK Asset Holdings;company
University of Cantabria;university
Cardiff University;university
Brigham Young University;university
University of Mannheim;university
Philips;company
Bangor University;university
Isfahan University of Technology;university
Sungkyunkwan University;university
Truist Financial;company
University of GÃ¶ttingen;university
University of Hyogo;university
Yonsei University;university
San Diego State University;university
Anglo American;company
Iberdrola;company
Mondelez International;company
Freeport-McMoRan;company
University of Barcelona;university
UmeÃ¥ University;university
University of Toronto;university
Georgia Regents University;university
ViacomCBS;company
Cathay Financial;company
Nankai University;university
Keio University;university
BlackRock;company
University of OsnabrÃ¼ck;university
University of Milan - Bicocca;university
Indiana University - Bloomington;university
Indiana University-Purdue University Indianapolis;university
Katholieke Universiteit Leuven;university
Paris Diderot University - Paris 7;university
University of Vienna;university
Memorial University of Newfoundland;university
Southwest University;university
Florida State University;university
University of Michigan, Ann Arbor;university
University of Nevada, Reno;university
Royal Dutch Shell;company
University of Caen Lower Normandy;university
Icahn School of Medicine at Mount Sinai;university
University of Arizona;university
Beihang University;university
Florida State University;university
Kaohsiung Medical University;university
Harbin Engineering University;university
University of Gothenburg;university
National Polytechnic Institute of Toulouse;university
Wake Forest University;university
Nanjing University of Science and Technology;university
Georgia State University;university
Sapporo Medical University;university
University of Montana - Missoula;university
London School of Hygiene & Tropical Medicine;university
Sempra Energy;company
University of Tsukuba;university
University of Oviedo;university
State University of New York Upstate Medical University;university
Fudan University;university
University of Auckland;university
Federico Santa MarÃ­a Technical University;university
Al Rajhi Bank;company
Chang Gung University;university
Paris Diderot University - Paris 7;university
National Taiwan University of Science and Technology;university
University of Greifswald;university
National University of Defense Technology;university
Talanx;company
University of Toledo;university
University of Akron;university
University of Bonn;university
Paris-Est CrÃ©teil Val-de-Marne University;university
University of DÃ¼sseldorf;university
Federal University of Rio de Janeiro;university
University of Akron;university
National Bank of Canada;company
Kyoto University;university
NextEra Energy;company
Donghua University;university
Roche Holding;company
University of Colorado Boulder;university
SUNY Downstate Medical Center;university
Florida Institute of Technology;university
University of Pennsylvania;university
University of Wisconsinâ€“Madison;university
Ajou University;university
Norfolk Southern;company
China Telecom;company
Becton Dickinson;company
University of Mississippi Medical Center;university
University of Patras;university
University of Copenhagen;university
Utrecht University;university
Julius-Maximilian's University of WÃ¼rzburg;university
King's College London;university
UniversitÃ© catholique de Louvain;university
Loma Linda University;university
Rovira i Virgili University;university
Nanjing Medical University;university
University of Marburg;university
Dai-ichi Life Insurance;company
Marche Polytechnic University;university
Shanghai Jiao Tong University;university
Saarland University;university
University of Tennessee, Knoxville;university
Capital One;company
Paris Diderot University - Paris 7;university
University of Sheffield;university
Johns Hopkins University;university
University of Minnesota, Twin Cities;university
Pontifical Catholic University of Chile;university
University of Texas MD Anderson Cancer Center;university
Boston University;university
Hong Kong Baptist University;university
University of Valenciennes and Hainaut-Cambresis;university
China Life Insurance;company
Saint-Gobain;company
Hunan University;university
Gifu University;university
University of Vermont;university
University of Toyama;university
Technical University of Denmark;university
University of Salzburg;university
Fudan University;university
Flinders University;university
ING Group;company
Iowa State University;university
University of Bari Aldo Moro;university
University of Perugia;university
University of Genoa;university
McGill University;university
Chungnam National University;university
Cigna;company
Merck & Co.;company
Tel Aviv University;university
Amazon;company
University of Houston;university
University of Tampere;university
All India Institute of Medical Sciences, New Delhi;university
National University of Singapore;university
Toyota Motor;company
University of Sussex;university
University of Queensland;university
University of North Dakota;university
